r,dp
6.403124237432848531e+00,2.184756978829070384e+00
7.071067811865475505e+00,2.247104071409055326e+00
7.810249675906653977e+00,2.309451163989040712e+00
8.602325267042626677e+00,2.369999669925609176e+00
9.433981132056603158e+00,2.427857288050998985e+00
1.029563014098700080e+01,2.482666804568719243e+00
1.118033988749894903e+01,2.534368291603240397e+00
1.208304597359457233e+01,2.583056876556300452e+00
1.300000000000000000e+01,2.628900985067838203e+00
1.392838827718411920e+01,2.672097488906527651e+00
1.486606874731850603e+01,2.712846056702623798e+00
1.581138830084189628e+01,2.751338375798461300e+00
1.676305461424021104e+01,2.787751467067121514e+00
1.772004514666934938e+01,2.822245297347671489e+00
1.868154169226940553e+01,2.854962779445160859e+00
1.964688270438849926e+01,2.886031818614706701e+00
2.061552812808830382e+01,2.915563607158089710e+00
2.158703314492290204e+01,2.943657399553279763e+00
2.256102834535695578e+01,2.970399148131717570e+00
2.353720459187963954e+01,2.995864572804430193e+00
2.451530134426252516e+01,3.020119502142719181e+00
